 Mean Lower-S.D Upper-S.D Lower-CI Upper-CI
endOfLoadingResponse 11.31510418918919 9.864768878143503 12.765439500234878 10.873915662162162 11.785896722972975
endOfMidstance 34.90987837837839 33.16057037890559 36.659186377851185 34.36543760135135 35.47584054054055
endOfTerminalStance 50.22994189189189 49.83898187981451 50.62090190396927 50.1076485472973 50.351786790540544
endOfPreswing 61.017067567567565 59.573154517697326 62.460980617437805 60.57508489864865 61.48126351351351
endOfInitialSwing 78.40809999999999 77.57220678795407 79.24399321204591 78.14280820945946 78.681934222973
endOfMidswing 86.08227567567567 85.01285594110115 87.1516954102502 85.74496722972974 86.42263716216216
gaitSpeed 1.2316399864864862 1.0741147440060927 1.3891652289668797 1.1822994516891892 1.282957975337838
stepTime 0.5285 0.4887300015366133 0.5682699984633867 0.5158648648648648 0.5413922297297299
cadence 1.8942236936936936 1.7493238039293306 2.0391235834580566 1.8481092432432435 1.9405461013513514
strideTime 1.0620405405405404 0.9794562083586917 1.144624872722389 1.0359459459459457 1.088730067567568
sSupportPortion 0.38914839189189193 0.3747913959205433 0.4035053878632406 0.3844895902027028 0.3934809986486487
singleSupportTime 0.41285129414864863 0.38242290646280824 0.443279681834489 0.4031756131013513 0.4223246463773649
dSupportPortion 0.22637699999999997 0.1974179368758625 0.2553360631241374 0.21757629695945946 0.23575977533783785
doubleSupportTime 0.2413783621216217 0.19829880574139466 0.28445791850184876 0.22821560757871626 0.2553242745185811
limpIdx 1.000824135135135 0.9997261003714129 1.0019221698988572 1.0005197969594595 1.0012083841216215
StepFactor 0.7153658136265243 0.6586943729876807 0.7720372542653678 0.6973219219664032 0.7333532107497372
StrideFactor 1.4390393513699216 1.3267616338686423 1.5513170688712008 1.4032394663842778 1.474519015430552
StepWidth 0.6567794654142975 0.5082733516090493 0.8052855792195458 0.6096009473206954 0.7046848962522876
LdRsp 11.31510418918919 9.864768878143503 12.765439500234878 10.873915662162162 11.785896722972975
MdStn 23.594774189189195 21.52681035290955 25.66273802546884 22.933859841216215 24.246839804054062
TrStn 15.320063513513508 13.589551171201082 17.050575855825933 14.757211621621623 15.86515885135135
PrSwg 10.787125675675675 9.299306588535524 12.274944762815826 10.328101216216215 11.2675164527027
InSwg 17.39103243243243 16.16664291395937 18.615421950905485 17.00625452702702 17.770479290540536
MdSwg 7.674175675675675 6.907218412305458 8.441132939045893 7.427709054054052 7.915664999999994
TrSwg 13.917724324324325 12.848304589749802 14.98714405889885 13.57736283783784 14.255032770270269
