%time pelvisJoint_xPelvis.q pelvisJoint_xPelvis.qd pelvisJoint_yPelvis.q pelvisJoint_yPelvis.qd pelvisJoint_zPelvis.q pelvisJoint_zPelvis.qd pelvisJoint_forwardTilt.q pelvisJoint_forwardTilt.qd pelvisJoint_sideTilt.q pelvisJoint_sideTilt.qd pelvisJoint_rotation.q pelvisJoint_rotation.qd hipJointRight_flexion.q hipJointRight_flexion.qd hipJointRight_adduction.q hipJointRight_adduction.qd kneeJointRight_flexion.q kneeJointRight_flexion.qd kneeJointRight_varus/adduction.q kneeJointRight_varus/adduction.qd ankleJointRight_dorsiflexion.q ankleJointRight_dorsiflexion.qd ankleJointRight_inversion/eversion.q ankleJointRight_inversion/eversion.qd hipJointLeft_flexion.q hipJointLeft_flexion.qd hipJointLeft_adduction.q hipJointLeft_adduction.qd kneeJointLeft_flexion.q kneeJointLeft_flexion.qd kneeJointLeft_varus/adduction.q kneeJointLeft_varus/adduction.qd ankleJointLeft_dorsiflexion.q ankleJointLeft_dorsiflexion.qd ankleJointLeft_inversion/eversion.q ankleJointLeft_inversion/eversion.qd thoraxJoint_xThorax.q thoraxJoint_xThorax.qd thoraxJoint_yThorax.q thoraxJoint_yThorax.qd thoraxJoint_zThorax.q thoraxJoint_zThorax.qd thoraxJoint_forwardTilt.q thoraxJoint_forwardTilt.qd thoraxJoint_sideTilt.q thoraxJoint_sideTilt.qd thoraxJoint_rotation.q thoraxJoint_rotation.qd shoulderJointRight_flexion.q shoulderJointRight_flexion.qd shoulderJointRight_abduction.q shoulderJointRight_abduction.qd elbowJointRight_flexion.q elbowJointRight_flexion.qd shoulderJointLeft_flexion.q shoulderJointLeft_flexion.qd shoulderJointLeft_abduction.q shoulderJointLeft_abduction.qd elbowJointLeft_flexion.q elbowJointLeft_flexion.qd
0.0 -1.432496838261796 0.9886779044800532 -0.2321721989731234 -0.12280002922826393 0.7939230381775039 -0.09865870258866255 0.09992190531070567 -0.32804679508333934 -0.05240896344539464 -0.4298880107418105 -0.015634471924095297 -0.09292030050514188 0.04848281891541721 0.03765687758325226 -0.049959283285477475 -0.9561303377866749 0.04410470921233041 1.7139668641681824 -0.032042741776084904 -0.6501365570409244 -1.853843597490963 0.2229950222206587 -0.01901640684819527 -0.18306270144429557 -0.6681897947900459 -0.16675233178241844 -0.07622940578476181 0.08705609754324795 -0.03162995838187843 0.32536745816525947 -0.04118391710444522 -0.7662468631400272 -1.6229768584810498 -0.09183080077669259 -0.06304900866001661 0.014445687250943307 -0.01132547627734812 -0.0581633648145492 0.005062191433045709 0.004622496360364083 -0.32753754414154934 -0.023148723066040936 0.0573091527848294 -0.11470122706521416 -0.05105745873364295 0.08963167929757282 0.02122818205468266 -0.16233179486805943 -0.13799616319293487 -0.9990012198433116 0.19337246341567366 -0.44818968316697166 0.5518237472808777 -0.4265188404327736 -0.5812351781317211 -0.678880844501119 0.12813722543089756 -0.07820477269777905 0.4430080612163689 -0.28511445569327215
0.005 -1.4256019392485384 1.4249468212943985 -0.23276141261184383 -0.19200111554093086 0.7934760422281895 -0.15338877077898747 0.09951265805811335 -0.3298849163261989 -0.0535573275124726 -0.4294520112432789 -0.01484250295542261 -0.09013380192912096 0.05098842512626123 0.04671129473439606 -0.05325361142866973 -0.9590627169355972 0.054722672006410636 1.6943419917204885 -0.03394749486565574 -0.6438325112590723 -1.8503442564412114 0.20168647096302195 -0.0187094054985443 -0.18752382815584576 -0.6655724869331332 -0.19390693895804945 -0.07386352809711787 0.0828348290630272 -0.02510196406556283 0.35476594439597187 -0.04212794028141569 -0.7928034183981042 -1.619761752455631 -0.24477416427770704 -0.06098257782756284 0.005438831164327418 -0.011417756395547455 -0.10046113751223841 0.00531396415658794 -0.0026392654647302977 -0.3275094730165739 -0.034326901225334015 0.058332031155075445 -0.11884607058656038 -0.049656358517326374 0.0831085348171674 0.021731632527945882 -0.15998404704931218 -0.14040247521748608 -0.9936435734723188 0.19207967822289068 -0.45009099325465385 0.5514287295362508 -0.42764729338188073 -0.5829811876809307 -0.6833623501523927 0.1284984068317466 -0.07895819134417509 0.44254821616770856 -0.28740234811652315
0.01 -1.4177389962174405 1.4101512755509051 -0.23345546699243905 -0.19677470935110894 0.7929982524940713 -0.1408296304776373 0.09904924653379628 -0.34551114217162243 -0.05478754472102383 -0.47104990826712 -0.014137389275551908 -0.1319999543406191 0.05322268443816161 -0.07248099941448893 -0.05675217066047822 -1.0346302642584426 0.06563201987768351 1.863820723155086 -0.03598025475727375 -0.6778357849566564 -1.846323519964281 0.367743429064307 -0.01841767195888962 -0.1774188192104712 -0.6625755191869825 -0.04114235113475362 -0.07128198128402634 0.13298410702965247 -0.01902288439472661 0.1823528702494457 -0.043011409033663295 -0.6765102371788784 -1.6144467527625201 0.4319934095711937 -0.05870247799131437 0.0014381106630125817 -0.011566043319205873 -0.09116014018928328 0.005574229669396823 0.003492948935633823 -0.3274759529733245 -0.03322962019546643 0.059347227952464304 -0.10636540890417193 -0.048124581969528284 0.13242245854199197 0.022161335090531135 -0.1923744055150164 -0.14307453864518668 -1.0600588984288213 0.19075588715695443 -0.4611126975230787 0.5509654634048398 -0.4594540399542517 -0.5846271906045225 -0.638864647639583 0.1288710896223701 -0.07099610243785509 0.44207193683624363 -0.27908030699783276
0.015 -1.4102098648935057 1.3466052529581185 -0.23416499577952737 -0.201191933610675 0.7926123225357599 -0.11925992676785094 0.09855113804109332 -0.3580009847621135 -0.05613388419367479 -0.5477936698398214 -0.01357296446585362 -0.19268260440987167 0.05485855824553906 -0.25607058933016347 -0.060582349022128466 -1.1493002853766845 0.07728469479720618 2.007998951860611 -0.03823949423884402 -0.729738782279735 -1.8411990839525572 0.5718049493447996 -0.01815155730318737 -0.19283300425653224 -0.6586789139174495 0.0990525907872204 -0.06811282730748672 0.1620715520137509 -0.01375313175978242 -0.28879339397495163 -0.043454793313511396 -0.5834152911796244 -1.6040793863196756 1.0331180614144784 -0.0560653162382439 -0.043628441114022976 -0.011687505779690174 -0.08333119938533912 0.005875010842467351 0.009569428096175142 -0.3274447418155136 -0.03558105413711067 0.060414804650008036 -0.09817426148279543 -0.04625439199723422 0.17526192278534636 0.022515736744102295 -0.24291170787071273 -0.1462279722953837 -1.1607806894997224 0.18940472437586556 -0.4735796454072815 0.5504324660444068 -0.49826026677721574 -0.5860393186433415 -0.6054574105325163 0.12928846121600526 -0.069612422983748 0.44158937355226224 -0.2664178233944604
0.02 -1.402883723499298 1.35233842872648 -0.23490218985318442 -0.2166025360889316 0.7923203460224397 -0.10549203434699042 0.09807847631134683 -0.3635126564241515 -0.05763811767938069 -0.6418935772768624 -0.013191830713432218 -0.2654497995524093 0.05576275499915484 -0.4534907705791404 -0.06479373046122663 -1.2816786143861796 0.08967434106637523 2.1152933397586207 -0.04071611941678974 -0.7760759549319691 -1.8349053548931105 0.782518249314383 -0.017947961712683733 -0.20556095355123638 -0.654093229089734 0.18170119050354172 -0.06431611571732557 0.17409446009356 -0.00953976290342394 -0.8810362358548223 -0.043486495768544936 -0.5148197747358323 -1.5895140964155718 1.4415995201035199 -0.05351187121376651 -0.11375510688975676 -0.011797588123977451 -0.09035902531189696 0.006218697400550905 0.012484852202611807 -0.32741654968394523 -0.04053133276835629 0.061563326872248775 -0.10343562698412645 -0.04399044297880743 0.20819791904343443 0.022798533823779048 -0.30611635892890593 -0.14975603995577302 -1.2628151164606887 0.1880215197897005 -0.4786311045999748 0.549855878329461 -0.5298944996754023 -0.5871886294498703 -0.585143134939673 0.12980459314818507 -0.05991374122243864 0.44113202101610954 -0.252476816251138
0.025 -1.395432036659213 1.3786972153721346 -0.23568809474718236 -0.2317894109252882 0.7921052002930732 -0.09187180184626607 0.09766599415762495 -0.36479341117550007 -0.05936755859468176 -0.7242411362127832 -0.013060059721846817 -0.34911854331024267 0.05587594843203765 -0.6577806221769474 -0.06944965675821972 -1.3950291499611507 0.10269532338813739 2.236861322259834 -0.043339795622093565 -0.7976512744038259 -1.827399315981185 1.0257059964408968 -0.017816157022474285 -0.21061311353941295 -0.649224069562954 0.21492628257860835 -0.05999364340866219 0.1885938161470705 -0.0061947425672614215 -1.3111317395921394 -0.043196526582607656 -0.4460507271948519 -1.573224705312994 1.4544454804728684 -0.05137698970031857 -0.19194526397862594 -0.01192610777248819 -0.09625185624731228 0.006595304346072693 0.014759983995074388 -0.3273918667109731 -0.043286661225563836 0.06277529821951455 -0.10853855277851343 -0.04132553152849398 0.2555852750255717 0.02298016340341876 -0.368203221474402 -0.15348980813346566 -1.323798314890819 0.18657717488186076 -0.5001135131921879 0.5492318010722015 -0.5610140967398769 -0.588036621250982 -0.5387148157103543 0.13048436897316912 -0.03363430981157933 0.4407283777519059 -0.2425432946054799
0.03 -1.3879113988390532 1.3770517668770352 -0.2365156402242404 -0.23786154707389753 0.7919800967020344 -0.0709789063946923 0.09729516332990287 -0.35926248950610723 -0.06138957098870823 -0.7722851791647023 -0.013261949351744719 -0.4243842367559584 0.055144672029237785 -0.866323150587151 -0.07461130441602448 -1.4611947536992025 0.11631778627398434 2.3904666062625672 -0.04602975945343831 -0.7975222201379861 -1.8184878443339738 1.3378719089624542 -0.01772280935917135 -0.20891393608366082 -0.6443676538410776 0.18847432700885913 -0.05525303299249583 0.2217668315439988 -0.0028868475403542176 -1.3522789793473045 -0.0425746733516292 -0.3668151782538433 -1.5577302502148698 1.2074920660163175 -0.049542263308149107 -0.23695332612554026 -0.012074323164175772 -0.09286659740249978 0.006997346744976261 0.01876955376804522 -0.3273703863846917 -0.04295795922108101 0.06399515920446329 -0.10519099528583759 -0.03824837642574306 0.32865341402269566 0.023016272050865413 -0.40180146607050177 -0.1573417732340857 -1.348024596573625 0.18503166388139874 -0.5404874669438 0.5485316062227115 -0.5904252772662195 -0.5884815066875816 -0.45448561099817586 0.13138669142972564 0.0024201360107748704 0.4403849124969812 -0.23995850335689883
0.035 -1.3804407197121396 1.3702901996268104 -0.23737920476037003 -0.2417172393827417 0.7919647663563875 -0.047092905239451824 0.09690785742558607 -0.3528510220042937 -0.06372136135932875 -0.7991540343874403 -0.01383390620264971 -0.48677581641374973 0.05354089892939684 -1.0589853935694222 -0.08025965307708094 -1.5012751975608831 0.1305188068008713 2.5424969850230887 -0.048710662795854724 -0.7799589333434793 -1.8080008557686478 1.6915171654079688 -0.01763286076589934 -0.20832732396948986 -0.6397767514925061 0.06469045787360428 -0.05019390344002316 0.2702467689552128 0.001717931809290571 -1.026531281317026 -0.04158594560907643 -0.29462277771262574 -1.5441556721514256 0.7257867001768417 -0.047569846395488696 -0.21236087748170346 -0.012224572365535315 -0.08690873163241004 0.007420517232875247 0.023975884742741066 -0.3273513770114628 -0.04207151884837116 0.06514225178058684 -0.10969886348863586 -0.03477063673836879 0.40271369931714096 0.022902053397638143 -0.4091693519553344 -0.16129126533505558 -1.3757177054903855 0.18337414552190767 -0.5860797054102423 0.5477422419466742 -0.6246211522752907 -0.588398224017797 -0.3555887017003189 0.13254676152388095 0.039794000861309076 0.44008472261694415 -0.24059635806306648
0.04 -1.372990509638 1.375055645557622 -0.23828837509580644 -0.2485807140326991 0.7920637018521588 -0.02383107577244726 0.09642024642000288 -0.3552075350963272 -0.06632582853710231 -0.8249694401794614 -0.014735163197171962 -0.541125324348037 0.05107234268919067 -1.2253479035792691 -0.08631422170518037 -1.5458192442899246 0.14530115093534576 2.697512302710237 -0.0512719742106587 -0.7378444417257097 -1.7958721052026265 2.0630095803202777 -0.01753815382390191 -0.21735282239107367 -0.6357472798686946 -0.15070265840566022 -0.044922798467829386 0.3263565707144931 0.008915370677508264 -0.5370266464954623 -0.04028977694335732 -0.23819182915999132 -1.532591485459159 -0.21685421219404843 -0.04494551299984567 -0.11840458273488486 -0.012358699438864851 -0.08195201865660733 0.00786023337125365 0.027772179401286165 -0.32733331442032926 -0.04105156836322753 0.06611104175896931 -0.1349929353236567 -0.03093815064178633 0.46234967639130875 0.022674368669469792 -0.4058373969618798 -0.1653458263097512 -1.41853966807071 0.18162267619801395 -0.6261325505152262 0.5468573979129123 -0.6672253977933715 -0.5876836382341121 -0.25185380823193965 0.13397107740119646 0.0779179720402175 0.43979494988921275 -0.2434594816374973
0.045 -1.3655109533574865 1.37932322725938 -0.23925467590641375 -0.25963058229732716 0.7922713104268752 -0.0016028796881503299 0.09575731065192035 -0.3740963813218474 -0.06914793875473894 -0.8615528446312495 -0.015876181083075265 -0.5989672255513436 0.04774423960897474 -1.3833508596985213 -0.09271116984610824 -1.6130019526585944 0.16084822178917665 2.904821734410815 -0.05353263886667125 -0.6676577377586232 -1.782015996407677 2.4505549200987713 -0.017465059395001474 -0.22511152594772332 -0.6325423228714672 -0.3933913276199954 -0.03952698556065483 0.3776962716258626 0.019267275684899554 -0.040787693258715674 -0.03887628012314497 -0.20940511848899146 -1.523459322977424 -1.4083032963326974 -0.04133289605228862 -0.04059908360253106 -0.012459412195602928 -0.07598482785985958 0.00830942766860994 0.02796651708674973 -0.32731458690451054 -0.04003760164232488 0.06680412468792246 -0.19110409050229538 -0.02680076105115926 0.5093915604660806 0.022394915708013836 -0.4198702437689933 -0.16953067240998093 -1.4706231849079359 0.17979880534293624 -0.6565032811516934 0.545869673703358 -0.717508730357767 -0.586267030644637 -0.15625570369996605 0.13563726466109552 0.11238668912202399 0.4394751134785566 -0.2548830305989483
