%time pelvisJoint_xPelvis.q pelvisJoint_xPelvis.qd pelvisJoint_yPelvis.q pelvisJoint_yPelvis.qd pelvisJoint_zPelvis.q pelvisJoint_zPelvis.qd pelvisJoint_forwardTilt.q pelvisJoint_forwardTilt.qd pelvisJoint_sideTilt.q pelvisJoint_sideTilt.qd pelvisJoint_rotation.q pelvisJoint_rotation.qd hipJointRight_flexion.q hipJointRight_flexion.qd hipJointRight_adduction.q hipJointRight_adduction.qd kneeJointRight_flexion.q kneeJointRight_flexion.qd kneeJointRight_varus/adduction.q kneeJointRight_varus/adduction.qd ankleJointRight_dorsiflexion.q ankleJointRight_dorsiflexion.qd ankleJointRight_inversion/eversion.q ankleJointRight_inversion/eversion.qd hipJointLeft_flexion.q hipJointLeft_flexion.qd hipJointLeft_adduction.q hipJointLeft_adduction.qd kneeJointLeft_flexion.q kneeJointLeft_flexion.qd kneeJointLeft_varus/adduction.q kneeJointLeft_varus/adduction.qd ankleJointLeft_dorsiflexion.q ankleJointLeft_dorsiflexion.qd ankleJointLeft_inversion/eversion.q ankleJointLeft_inversion/eversion.qd thoraxJoint_xThorax.q thoraxJoint_xThorax.qd thoraxJoint_yThorax.q thoraxJoint_yThorax.qd thoraxJoint_zThorax.q thoraxJoint_zThorax.qd thoraxJoint_forwardTilt.q thoraxJoint_forwardTilt.qd thoraxJoint_sideTilt.q thoraxJoint_sideTilt.qd thoraxJoint_rotation.q thoraxJoint_rotation.qd shoulderJointRight_flexion.q shoulderJointRight_flexion.qd shoulderJointRight_abduction.q shoulderJointRight_abduction.qd elbowJointRight_flexion.q elbowJointRight_flexion.qd shoulderJointLeft_flexion.q shoulderJointLeft_flexion.qd shoulderJointLeft_abduction.q shoulderJointLeft_abduction.qd elbowJointLeft_flexion.q elbowJointLeft_flexion.qd
0.0 -0.7962675524663677 0.9937482662556054 0.03581019585201793 -0.07572560728699551 0.8488904626681615 -0.05923179551569507 0.20287529753363231 -0.048966271636771315 -0.009197614461883417 -0.16182012466367712 0.05398747746636771 0.2140448918161435 0.15652385706278027 0.4658515003363229 0.020044652130044843 -0.5255088326233185 0.12586841636771298 2.450124033295964 0.04823649921524663 0.18748593957399098 -1.7818769360986546 1.1105434896860984 0.02446124977578475 0.045684795515695056 -0.5491448906950672 0.6793830017937219 -0.0053406302690583 0.4889421220852017 0.04860771434977578 1.6033872502242152 0.020411925560538113 0.13914796614349775 -1.546675264798206 1.4524997624439464 -0.004622720852017939 0.5350842274663676 0.018838087443946185 0.028373668834080712 0.014489881502242154 0.0730954717488789 -0.29596294854260097 0.004912055493273542 0.19318431838565023 0.240826405941704 0.0023609586322869956 0.38139851143497755 0.09097527690582961 0.16968456423766817 0.0226804645895764 -0.5159249320627802 0.2791877816143497 -0.2168346961883408 0.7127733560538116 0.038297998878923774 -0.4127098686644148 -0.18209000448430493 0.2273936826233184 0.14549489529147983 0.527972918721973 -0.07847028677130045
0.005 -0.7896547663677129 1.61090547073991 0.035097825112107614 -0.11970091849775787 0.848201963116592 -0.09342607320627803 0.20253454674887894 -0.04934023576233185 -0.010115883183856504 -0.15851001603139014 0.05499722757847533 0.21661197477578473 0.15877040078475338 0.46989565201793715 0.016957436883408065 -0.524897604484305 0.13756556603139014 2.4415244460762326 0.04895450594170403 0.19096670179372197 -1.7769855655829596 1.1021974773542602 0.02456484630044843 0.04595386378923766 -0.5465736890134528 0.6574298566143498 -0.0032932358744394625 0.48360088834080717 0.05586451076233183 1.6414215718609866 0.02059664147982063 0.11834914786995515 -1.5411161985426012 1.3214246679372197 -0.002266256502242158 0.5228532607623317 0.01864274080717489 -0.030431294618834086 0.014787557286995514 0.067149216367713 -0.2958207608744395 0.012557669282511208 0.19427075997757845 0.23917085639013455 0.00393540213004484 0.378797515470852 0.09169122869955156 0.17191396681614352 0.020366030295169188 -0.5077200356502243 0.2780560892376682 -0.21798975728699552 0.7132297719730941 0.037242328026905816 -0.41364099737052074 -0.1831965105381166 0.22802009674887888 0.14581725426008968 0.5273075901345292 -0.07776647073991032
0.01 -0.7798990570627804 1.580545072085202 0.035622794843049345 -0.12459793677130047 0.8479384384529147 -0.07838458991031391 0.20239217881165916 -0.060215348094170396 -0.01110061625560538 -0.19412829630044845 0.055761382511210766 0.1793810594170403 0.16095494271300448 0.38528050022421534 0.0140924615470852 -0.5742167540358745 0.1499644346412556 2.5940366838565025 0.04987048576233184 0.22564587365470848 -1.7713814078475336 1.3692090566143496 0.024450165134529144 0.04672614103139014 -0.5432088015695067 0.8176381004484307 -0.0009374458520179387 0.5500983674887893 0.063424249103139 1.4893847792600896 0.02126579697309417 0.25181789719730935 -1.5328106294843051 2.2980298234304937 0.000298421076233181 0.5834244338565023 0.01854102186098655 -0.02547835773542601 0.015086691704035874 0.0728726471973094 -0.29584480112107614 0.011222421076233181 0.19543641233183856 0.24923469372197307 0.005980803139013454 0.4231891955156951 0.09240481547085201 0.13913942298206275 0.0171103537147954 -0.6024649533632286 0.2771060137892377 -0.22280500358744393 0.7131434678251121 0.01832969461883408 -0.4150911565223543 -0.1612098753363229 0.22889062959641254 0.14929869226457398 0.5270046117713004 -0.08057874529147982
0.015 -0.7729158589686099 1.504181492264574 0.03366404035874439 -0.12640555000000003 0.8476185308295965 -0.056879500896860995 0.20212872959641254 -0.056007183632287 -0.012429061098654715 -0.2383574087443947 0.056422304147982064 0.13571746995515693 0.16184103497757849 0.26933003867713 0.011074218721973098 -0.625984569058296 0.16329485224215248 2.7750592495515694 0.05077861715246638 0.2704598986547085 -1.763916780941704 1.6823692945067266 0.02457675739910313 0.050320044282511196 -0.5391329339686098 0.9953382452914796 0.0016625847533632253 0.6342932494394619 0.06948857892376681 1.2004969948430493 0.022223059080717495 0.3564141024663677 -1.5191859689461884 3.4895882221973094 0.0028282843049327357 0.5997692067264573 0.01833449899103139 -0.01838431221973094 0.015453190358744394 0.08198806311659193 -0.2958285323991032 0.009709469170403582 0.19670304887892376 0.2739617215246637 0.008183554484304929 0.4878232264573991 0.09283392320627801 0.10628797085201795 0.013720930135515622 -0.6975386832959641 0.27572212466367707 -0.22990586905829596 0.713189116367713 0.004825300784753364 -0.41617779247894765 -0.12942701547085206 0.22938833329596414 0.16292956322869953 0.5261119164798206 -0.07806918979820625
0.02 -0.7644249852017938 1.5021448754484308 0.03365179047085202 -0.13293765706278027 0.8471942869955156 -0.03970030605381165 0.20143883004484306 -0.03444655056053813 -0.013824114910313903 -0.283354866367713 0.05673596188340806 0.09123226177130044 0.16242218867713004 0.13901448834080715 0.007502093609865468 -0.6721887266816143 0.177105412780269 2.9413497655829595 0.052210737331838564 0.31324572354260083 -1.7552669968609862 1.9908203875560537 0.024808442600896857 0.05526702679372195 -0.5345109071748879 1.1063416784753362 0.004826162556053812 0.7119585003363227 0.07381277343049328 0.8911143619955154 0.023875022869955152 0.382453398206278 -1.5004330769058298 4.295372817713004 0.005357409753363227 0.5385234793721972 0.018218436098654697 -0.018851304708520186 0.015875168273542604 0.0902580206278027 -0.2957688808295964 0.008965284529147978 0.19761833340807175 0.30562678688340805 0.010427886322869954 0.5634172632286996 0.09293088721973095 0.08094720224215246 0.00987764010107411 -0.7638606014573992 0.27438478139013445 -0.24377932343049324 0.7126318846412557 -0.008464359641255635 -0.41653031571742116 -0.08763811928251122 0.23031211188340803 0.1898698932735426 0.5257434139013454 -0.07014906154708524
0.025 -0.7597198034753363 1.53283928867713 0.03262163755605381 -0.1412985331838565 0.8470866971973093 -0.022658846076233186 0.20111881804932738 -0.012794019618834113 -0.01566812970852018 -0.3324266474215247 0.05690966334080717 0.03954469753363226 0.16239588060538115 -0.004278569282511212 0.0036444961883408044 -0.7180334771300447 0.19204375941704036 3.104508499327354 0.05361741547085202 0.3681770006726457 -1.7448872140134533 2.3336653233183857 0.02488744372197309 0.06027979047085202 -0.5291558853139012 1.138680100336323 0.008012742600896856 0.7798711513452915 0.07642383643497759 0.69512580235426 0.02520752556053811 0.365669325 -1.479733283632287 4.421201214013452 0.0073761932735426005 0.46224799686098655 0.018097308295964124 -0.02369184338565022 0.01628193486547085 0.09628529562780266 -0.2957784649103139 0.008678354147982062 0.19884041659192828 0.32176292242152466 0.013303515582959636 0.6484981586322869 0.0930647409192825 0.05424452455156949 0.005839659595268314 -0.806586730381166 0.27291235751121073 -0.2671917854260089 0.712405838116592 -0.029600864798206294 -0.4175831151246876 -0.029956141031390153 0.2310766147982063 0.23117519360986546 0.5254661080717489 -0.0584142143497758
0.03 -0.7512012142376683 1.5288121044843053 0.03185800033632287 -0.14815084226457403 0.846888105717489 -0.0011074688340807202 0.20102710986547084 -0.00197498587443948 -0.017671620515695066 -0.38543071793721967 0.05662582802690582 -0.023750986659192827 0.16197720560538115 -0.1574601353139014 -0.00019525257847533792 -0.7777442773542602 0.20751193721973096 3.283170045179373 0.05558355325112108 0.439820541928251 -1.732703111210762 2.736121990695068 0.025055408856502242 0.06455399596412555 -0.5240692844170404 1.114480003026906 0.011322549215246636 0.8420574292600895 0.07851436087443946 0.7461951375560536 0.026851928475336316 0.3817852600896861 -1.4596991177130045 3.8782893587443943 0.009271234865470846 0.43465223677130027 0.01795858127802691 -0.02605064887892377 0.016706962219730944 0.1000227774663677 -0.29571317679372205 0.008784938789237666 0.20025382006726458 0.31480664517937224 0.01658545089686099 0.7372863761210762 0.09307745751121076 0.018081671188340788 0.0010316776223491975 -0.8444379209641255 0.2712984310538117 -0.29774001132287 0.7111278480941704 -0.06463767847533632 -0.4175618610543759 0.04695272488789237 0.23235837567264572 0.2843164737668161 0.5249425028026906 -0.04588614955156952
0.035 -0.7434983887892377 1.5166103133408073 0.031270603251121055 -0.1555562980941704 0.8467132941704036 0.022684152578475333 0.2010666211883408 -0.007855753923766829 -0.019866856726457403 -0.4361207321748879 0.056261735089686085 -0.09522348688340809 0.15998747589686094 -0.30909275549327364 -0.0045972374439461885 -0.8427291914798207 0.22429393755605379 3.4772514075112113 0.05764793755605379 0.5263515600896862 -1.7181936840807173 3.162586694730942 0.0252925615470852 0.07177809977578474 -0.5192195709641255 1.0332549344170403 0.015300833408071746 0.9006949202914799 0.08155232085201795 1.0869581099775785 0.028377026905829588 0.4574953549327354 -1.4441643147982064 2.9467109979820627 0.010936483856502229 0.489597299103139 0.017803882399103143 -0.02486073408071749 0.01719836860986547 0.10211998430493273 -0.2957724 0.008940719058295958 0.20210157668161433 0.28331394215246636 0.02022265896860986 0.8206921492152467 0.09273635526905831 -0.020653742488789248 -0.0035711112213303257 -0.8753063665919283 0.2696556951793722 -0.3267947036995517 0.711202033295964 -0.10715557634529149 -0.41745017005069784 0.13722498408071748 0.2338085360986547 0.33997845078475336 0.5245983980941703 -0.037219079708520196
0.04 -0.7337634707399104 1.5168605525784753 0.03029697230941703 -0.16474283385650224 0.8471365054932735 0.045296457511210746 0.2003651200672646 -0.033614397533632295 -0.02236843408071749 -0.48282691390134536 0.055165093385650225 -0.15979891737668162 0.15760287286995514 -0.4542958848654708 -0.009271882286995523 -0.9165845457399104 0.24175930852017938 3.681304756502241 0.060474108183856505 0.6395053836322869 -1.7018370418161437 3.596652675896861 0.025349179708520176 0.08117983385650222 -0.5149166532511212 0.9019649946188341 0.019418105605381163 0.9524236378923766 0.08707855538116589 1.6608671594170403 0.03087660291479821 0.5558228446188341 -1.4329961603139014 1.943932963901345 0.013444235986547082 0.6065550673766817 0.017563427242152464 -0.020693970627802694 0.017643001121076234 0.10203432443946187 -0.295713543161435 0.009451691816143498 0.20257019742152474 0.22702986793721971 0.024365407286995513 0.8906711239910312 0.09230518026905829 -0.051195496636771316 -0.00863669485137562 -0.9047845059417041 0.2678360160313902 -0.3511620468609865 0.7105512700672646 -0.14658003318385648 -0.41671299717625937 0.2377358915919283 0.23553624551569508 0.3923963507847533 0.5244905994394619 -0.03564311098654709
0.045 -0.7280846328475337 1.5202616543721972 0.02896075695067262 -0.17508739730941705 0.8472142357623319 0.06611577668161435 0.20030664473094173 -0.07350491244394618 -0.025161707847533632 -0.5237402929372197 0.05426950089686098 -0.20054632410313905 0.15468075089686095 -0.6090118133408073 -0.014129357623318389 -0.9955196356502243 0.2607737677130045 3.9239626075112115 0.06366341614349776 0.7679564915919282 -1.682832436547085 4.050575886098654 0.025682609304932734 0.07936512858744395 -0.5117250244394619 0.7473075730941705 0.02386749573991031 0.9997727778026905 0.09540384405829597 2.3311164029147977 0.03334161681614349 0.6299348987668162 -1.4273486663677128 1.035515550224215 0.016080945852017935 0.7404136560538116 0.017390249327354265 -0.013364854035874443 0.018121375336322867 0.10135725896860988 -0.29572790885650224 0.010276935762331834 0.20356850582959643 0.16161811692825112 0.028663030717488783 0.9469850770179373 0.09175020549327356 -0.059809243721973146 -0.013359099244388961 -0.9378910837443946 0.2655905432735426 -0.3689488124439462 0.7087747875560537 -0.18737463071748886 -0.41552353791231805 0.3478691545964125 0.23736181345291477 0.4375096615470852 0.5237255885650224 -0.04396834843049328
