%time pelvisJoint_xPelvis.q pelvisJoint_xPelvis.qd pelvisJoint_yPelvis.q pelvisJoint_yPelvis.qd pelvisJoint_zPelvis.q pelvisJoint_zPelvis.qd pelvisJoint_forwardTilt.q pelvisJoint_forwardTilt.qd pelvisJoint_sideTilt.q pelvisJoint_sideTilt.qd pelvisJoint_rotation.q pelvisJoint_rotation.qd hipJointRight_flexion.q hipJointRight_flexion.qd hipJointRight_adduction.q hipJointRight_adduction.qd kneeJointRight_flexion.q kneeJointRight_flexion.qd kneeJointRight_varus/adduction.q kneeJointRight_varus/adduction.qd ankleJointRight_dorsiflexion.q ankleJointRight_dorsiflexion.qd ankleJointRight_inversion/eversion.q ankleJointRight_inversion/eversion.qd hipJointLeft_flexion.q hipJointLeft_flexion.qd hipJointLeft_adduction.q hipJointLeft_adduction.qd kneeJointLeft_flexion.q kneeJointLeft_flexion.qd kneeJointLeft_varus/adduction.q kneeJointLeft_varus/adduction.qd ankleJointLeft_dorsiflexion.q ankleJointLeft_dorsiflexion.qd ankleJointLeft_inversion/eversion.q ankleJointLeft_inversion/eversion.qd thoraxJoint_xThorax.q thoraxJoint_xThorax.qd thoraxJoint_yThorax.q thoraxJoint_yThorax.qd thoraxJoint_zThorax.q thoraxJoint_zThorax.qd thoraxJoint_forwardTilt.q thoraxJoint_forwardTilt.qd thoraxJoint_sideTilt.q thoraxJoint_sideTilt.qd thoraxJoint_rotation.q thoraxJoint_rotation.qd shoulderJointRight_flexion.q shoulderJointRight_flexion.qd shoulderJointRight_abduction.q shoulderJointRight_abduction.qd elbowJointRight_flexion.q elbowJointRight_flexion.qd shoulderJointLeft_flexion.q shoulderJointLeft_flexion.qd shoulderJointLeft_abduction.q shoulderJointLeft_abduction.qd elbowJointLeft_flexion.q elbowJointLeft_flexion.qd
0.0 -0.8668884582959642 0.9922545872197307 -0.014367170964125563 -0.08422564192825115 0.8362877308295963 -0.07232021221973095 0.17428740795964126 -0.1265673976457399 -0.012591805941704037 -0.2270261044843049 0.06841514618834081 0.1437065221973094 -0.582340694955157 0.35656528206278026 -0.04059116087443946 0.40096126995515696 0.04132856356502242 1.493517060986547 0.017058946860986548 -0.020850507399103123 -1.5862309933856502 1.1511796667040355 0.004562017488789237 0.40955886121076224 0.14057314618834077 0.41931388161434974 0.003598190134529149 -0.6422381449551572 0.09675279114349775 2.1651489478699553 0.010925634304932735 -0.3150383369955157 -1.778985093721973 0.746996471748879 -0.01675523419282511 -0.04467742825112108 0.012103062219730943 0.013444072197309418 0.0058051627802690586 0.06286255706278027 -0.30312267085201783 0.0009347284753363227 0.15984944820627808 0.10834152600896861 0.0002779695067264575 0.32758828789237676 0.10174989159192825 0.10703531659192825 -0.4365451064379588 -0.3196141757847533 0.22254156401345296 0.06905619540358743 0.5346900606502243 -0.17716859405829594 0.06769941225476622 -0.6420828651345292 0.24108143004484298 -0.3045984360986547 0.6515505585201792 0.04528428295964126
0.005 -0.8611787753363229 1.5513350081838566 -0.014660579932735427 -0.13245240168161437 0.836103592825112 -0.11446075369955157 0.1738680974215247 -0.1255564125560538 -0.013515591143497757 -0.22480884147982064 0.06922567343049327 0.14721471322869958 -0.5803135831838565 0.33305767511210765 -0.03855136479820628 0.39530664024663675 0.04955736670403587 1.5352243923766815 0.017204580829596413 -0.03997989091928251 -1.5806633142376683 1.0071270980941704 0.006975080156950671 0.40613681535874435 0.14301468531390135 0.4226246882286996 0.0005477995515695072 -0.6398613422645739 0.10780334013452912 2.1545665831838567 0.009601443161434978 -0.31344116378923775 -1.775106674775785 0.7381209471973094 -0.016879568497757846 -0.047910155941704044 0.012051681165919282 -0.03730139047085203 0.006101754035874439 0.05694594674887893 -0.3030721622197309 0.004984537331838565 0.16049305123318386 0.10928522668161436 0.0022134035874439464 0.32352105941704046 0.10262128385650224 0.10996587791479821 -0.4382851957854926 -0.3201561367713004 0.222933067264574 0.06997409742152466 0.5337713174887891 -0.179037114573991 0.06495469309798371 -0.6335698503363228 0.23999978329596414 -0.30680388688340804 0.6518440823991031 0.04239666692825112
0.01 -0.8518480131165919 1.5280842649103137 -0.016434212668161433 -0.1374493356502242 0.8355503003363229 -0.09887831221973097 0.17297620269058295 -0.13723186311659197 -0.014638874775784754 -0.2570755368834082 0.06990824394618834 0.09982392017937221 -0.5778802542600896 0.49337924170403585 -0.036269296524663666 0.45636179517937225 0.05757034484304933 1.3427605183856501 0.01775426188340807 0.08250683744394618 -1.57266100470852 1.9083965182735425 0.009251564349775785 0.4214269467488789 0.14504319159192824 0.34642244977578474 -0.002675768721973093 -0.6851103382286995 0.11913308789237669 2.29517973632287 0.008039333183856504 -0.31536567813901345 -1.7704950600896858 0.9622108362107623 -0.017061703923766817 -0.03671633946188341 0.011891438004484304 -0.03385466266816144 0.006425142600896861 0.06290844966367715 -0.3030714341928251 0.004896240919282511 0.16051322668161433 0.11399294024663675 0.003980255605381166 0.3656854192825112 0.10306319091928251 0.07545112668161436 -0.43908965120109583 -0.29569883497757843 0.22338830067264578 0.07584877847533632 0.5334605328475337 -0.170265390470852 0.06213156241700308 -0.7299010995515695 0.23896711535874443 -0.3064857580717489 0.6524161392376682 0.021293911659192838
0.015 -0.8438138363228699 1.458720339573991 -0.016016135089686107 -0.13909617769058297 0.8351779169282512 -0.07599799932735425 0.17284580145739906 -0.14127731748878922 -0.015812159641255607 -0.2996933815022421 0.07037321905829597 0.03794355291479821 -0.5745658165919283 0.6719425670403588 -0.03331586479820627 0.5216685492152466 0.06424078038116593 0.965364464013453 0.018682695515695066 0.20730549641255602 -1.559498011995516 2.9084872576233187 0.011768592937219734 0.41998353026905827 0.14621593598654709 0.23583162006726457 -0.006058382174887892 -0.7302190137892375 0.1318611191704036 2.4560041570627797 0.0067533436098654726 -0.32590903565022433 -1.7643194176008974 1.2383511300448429 -0.017198872309417038 -0.030641451793721974 0.011826444506726458 -0.030074003587443946 0.006790788565022422 0.0692721789237668 -0.3029184211883409 0.004506030605381166 0.16188715100896858 0.12128639091928249 0.006157249775784755 0.41814015571748875 0.10334784114349774 0.031833242713004486 -0.4403805908549991 -0.2624184976457399 0.22392051849775785 0.085989124103139 0.5327067011210762 -0.16059201289237668 0.05848716922900902 -0.8309298918161434 0.23714759820627804 -0.30893339529147984 0.6529960020179372 -0.0038687464125560533
0.02 -0.8378396025784755 1.4605079328475337 -0.017218056502242153 -0.14653850168161436 0.8349560706278025 -0.05820154966367713 0.17240899999999998 -0.13194764775784754 -0.017214700672645744 -0.34168535751121076 0.07076858340807177 -0.029022795627802692 -0.5700651980941704 0.805873711659193 -0.030240411659192827 0.578482997869955 0.06910548295964125 0.5609758565022422 0.02036741031390134 0.2912313784753363 -1.5419497605381165 3.5316587400224213 0.014105368049327353 0.4160520237668162 0.14774934002242152 0.10475066625560538 -0.009483895179372199 -0.7673130224215247 0.14477391793721972 2.600521642152467 0.005142921748878925 -0.3368334291479821 -1.7571885457399106 1.522984116928251 -0.01708375302690583 -0.03242377040358745 0.011617397757847533 -0.03321948475336323 0.007214521412556054 0.07418077275784754 -0.30296469730941694 0.0042504867713004475 0.16291234181614353 0.13204737432735425 0.008603751681614352 0.475085884529148 0.10367652399103139 -0.009593008408071747 -0.44122020535131967 -0.21777956278026905 0.2246162494394619 0.10719005829596413 0.5321222367713004 -0.15138293587443946 0.05418192227160685 -0.9013823289237667 0.23600185112107624 -0.3195370704035875 0.6527446168161435 -0.03474052914798208
0.025 -0.83093988396861 1.4915365893497758 -0.017686820515695072 -0.15666283441704038 0.834689821076233 -0.041289650672645735 0.17179478150224217 -0.11566485807174887 -0.01886284753363229 -0.38723413273542595 0.07063327174887891 -0.09676767432735427 -0.5650631762331838 0.8803782683856501 -0.02691403452914799 0.6304605058295963 0.07258382578475336 0.2942466900224215 0.0223659476457399 0.3666165025784753 -1.5228893494394617 3.5299644803811656 0.016681343497757847 0.4289659116591928 0.14821604327354257 -0.04691399349775786 -0.013309862668161433 -0.8071312760089686 0.15843642735426008 2.7569566344170404 0.0035455683856502255 -0.3434136088565023 -1.748646586547085 1.8454137956278025 -0.01734191457399103 -0.03615071558295964 0.011392421524663677 -0.03944952186098654 0.007609863789237667 0.07742883464125562 -0.30281946423766815 0.004132480044843049 0.16323530717488788 0.14326557948430493 0.011353741591928253 0.5426996822869956 0.1035968725336323 -0.045866551121076245 -0.44215708561813627 -0.16547797309417042 0.2253366039237668 0.1399312239910314 0.5313760744394619 -0.1428095989910314 0.05002040186204151 -0.9601500960762331 0.23473738912556052 -0.3404475582959641 0.6529374030269056 -0.06846228811659193
0.03 -0.8206287831838565 1.4891336219730944 -0.01819113396860986 -0.1652418668161435 0.8343849701793723 -0.019087043497757847 0.17136030672645738 -0.10002138396860985 -0.02080454943946188 -0.4405548542600897 0.07039656266816142 -0.1663843983183856 -0.5604575963004484 0.892302721748879 -0.023252054372197312 0.680161521973094 0.07502874820627803 0.2745244743273543 0.024736557735426008 0.467048317264574 -1.5046911503363227 3.020243314910313 0.019336867264573992 0.478999992264574 0.1476842005605381 -0.21335881513452915 -0.01733409428251121 -0.8593698909192826 0.1733733865470852 2.9543448845291476 0.0021720767937219738 -0.3307210534753363 -1.7379542156950671 2.2264356765695066 -0.017202142040358744 -0.03280505840807174 0.011291703139013452 -0.04136581076233184 0.008047374887892379 0.08040374753363227 -0.3028129262331839 0.0035318585201793732 0.16479671625560538 0.1515558883408072 0.01448837062780269 0.6247318051569505 0.10372987959641256 -0.07628270022421524 -0.44244442698809094 -0.10419812264573992 0.22669235056053813 0.18277828520179376 0.5309587022421525 -0.13432765358744395 0.04549166761868149 -1.0238874369955155 0.23307580650224216 -0.3720476060538117 0.6529939718609864 -0.10794639618834077
0.035 -0.8145999158071748 1.477763855381166 -0.019386485538116588 -0.1744576960762332 0.8343244214125561 0.005196443049327354 0.17085134775784755 -0.09509277948430492 -0.02297953957399103 -0.49451212264574 0.06955850874439463 -0.23286194899103138 -0.5555891412556054 0.8249976098654708 -0.01945880560538116 0.7321117471973095 0.07828937040358744 0.5305577450672646 0.027490496188340808 0.5749188985426009 -1.490481880381166 2.189718826793722 0.022493502017937223 0.5536043837443947 0.1470418652466368 -0.3896979939461883 -0.021583150112107624 -0.9237523628923767 0.18876051647982062 3.167963164461884 0.0007969289237668176 -0.29575163486547085 -1.725585465246637 2.6325703383408077 -0.017298756502242156 -0.024007971076233182 0.01106434865470852 -0.039257688004484315 0.008501305044843047 0.0827512001121076 -0.30280914383408075 0.002761090582959641 0.16546268374439466 0.14548055650224212 0.01800426289237668 0.7081831856502244 0.10329769080717491 -0.09968725325112107 -0.442750619396968 -0.03793353441704036 0.22737548766816146 0.234244383632287 0.5306072926008969 -0.12889226468609866 0.040552980949198056 -1.0881618397982062 0.2312345132286996 -0.40856284876681614 0.6527097094170404 -0.15436417869955155
0.04 -0.8084509224215247 1.4766617159192825 -0.01985925134529148 -0.1842396952914798 0.8348062695067265 0.027855914686098653 0.17071224764573992 -0.10383388665919284 -0.02546306132286995 -0.5441806339686098 0.06852492275784754 -0.2890329792600897 -0.5511122939461884 0.6837315400224216 -0.015141404708520179 0.7823471834080717 0.08312783654708522 0.9859006145739909 0.031093815358744392 0.654166775336323 -1.479720235986547 1.2895660783632283 0.026143490022421525 0.6563634093049328 0.14506026973094174 -0.5600012603139012 -0.026145915358744394 -0.9865833876681614 0.20514421132287 3.391098632959641 -0.000227148094170403 -0.23706593598654707 -1.710915577690583 3.0493769582959644 -0.017137652914798206 -0.01543442141255606 0.011044232847533633 -0.03449606995515696 0.008920003475336325 0.08439351928251122 -0.30282260515695075 0.002094489686098655 0.16637553183856502 0.11967323475336322 0.022107767376681617 0.783966664910314 0.10285486367713005 -0.11623497869955154 -0.4420788376360734 0.034444793721973094 0.22895913912556054 0.2823391147982063 0.5303605654708522 -0.12950717320627803 0.03555098273395322 -1.146858599215247 0.2292899220852018 -0.44521779562780267 0.6519607145739911 -0.2088611769058296
0.045 -0.8009108959641256 1.4783808603139015 -0.020489096300448425 -0.19431741042600895 0.8350265446188342 0.04898741726457399 0.1704083567264574 -0.12386874551569506 -0.027993865134529148 -0.588553452130045 0.06739791670403589 -0.3368006173766816 -0.5474788951793722 0.4850917970852017 -0.01090196625560538 0.8353793182735426 0.09110138699551569 1.5570599307174888 0.034511401681614345 0.6626133678251122 -1.4734502996636771 0.5099737182735424 0.030453824551569506 0.7341080558295965 0.1419339013452915 -0.731048918497758 -0.030942128139013456 -1.0534788950672644 0.22336508755605383 3.626880671300449 -0.001051762780269057 -0.16874963811659197 -1.694052056278027 3.484926067937219 -0.01714849843049327 -0.010937481950672647 0.010858449215246636 -0.027725084865470852 0.009375141816143498 0.08555913374439465 -0.3027405438340807 0.0017434381165919283 0.16699793340807179 0.08244551468609865 0.026351292040358746 0.8422215285874439 0.10264530011210764 -0.12933054753363227 -0.4416286006749948 0.11302120168161436 0.2306010893497758 0.3211856030269058 0.5293667549327354 -0.1422557133408072 0.030105825891417037 -1.2100385183856501 0.22688533352017937 -0.4743779578475336 0.6507715250000001 -0.2646136193946188
