%time pelvisJoint_xPelvis.q pelvisJoint_xPelvis.qd pelvisJoint_yPelvis.q pelvisJoint_yPelvis.qd pelvisJoint_zPelvis.q pelvisJoint_zPelvis.qd pelvisJoint_forwardTilt.q pelvisJoint_forwardTilt.qd pelvisJoint_sideTilt.q pelvisJoint_sideTilt.qd pelvisJoint_rotation.q pelvisJoint_rotation.qd hipJointRight_flexion.q hipJointRight_flexion.qd hipJointRight_adduction.q hipJointRight_adduction.qd kneeJointRight_flexion.q kneeJointRight_flexion.qd kneeJointRight_varus/adduction.q kneeJointRight_varus/adduction.qd ankleJointRight_dorsiflexion.q ankleJointRight_dorsiflexion.qd ankleJointRight_inversion/eversion.q ankleJointRight_inversion/eversion.qd hipJointLeft_flexion.q hipJointLeft_flexion.qd hipJointLeft_adduction.q hipJointLeft_adduction.qd kneeJointLeft_flexion.q kneeJointLeft_flexion.qd kneeJointLeft_varus/adduction.q kneeJointLeft_varus/adduction.qd ankleJointLeft_dorsiflexion.q ankleJointLeft_dorsiflexion.qd ankleJointLeft_inversion/eversion.q ankleJointLeft_inversion/eversion.qd thoraxJoint_xThorax.q thoraxJoint_xThorax.qd thoraxJoint_yThorax.q thoraxJoint_yThorax.qd thoraxJoint_zThorax.q thoraxJoint_zThorax.qd thoraxJoint_forwardTilt.q thoraxJoint_forwardTilt.qd thoraxJoint_sideTilt.q thoraxJoint_sideTilt.qd thoraxJoint_rotation.q thoraxJoint_rotation.qd shoulderJointRight_flexion.q shoulderJointRight_flexion.qd shoulderJointRight_abduction.q shoulderJointRight_abduction.qd elbowJointRight_flexion.q elbowJointRight_flexion.qd shoulderJointLeft_flexion.q shoulderJointLeft_flexion.qd shoulderJointLeft_abduction.q shoulderJointLeft_abduction.qd elbowJointLeft_flexion.q elbowJointLeft_flexion.qd
0.0 -0.7253705776905829 0.9935569384529148 0.04756147769058295 -0.07230789809417042 0.849329305044843 -0.06271059697309417 0.19883819181614346 -0.06933507040358745 -0.004487743273542603 -0.16228759147982066 0.08352413329596414 0.2164812678251121 -0.5526262229820629 0.5753865591928251 -0.023761129820627808 0.5137068717488789 0.06104916748878925 1.8128843977578473 0.031924127578475334 0.20629803352017934 -1.572594243497758 1.4771059623318386 0.015231865470852013 0.5433760206278028 0.16808097970852018 0.5159165467488789 0.014584213340807171 -0.5457669585201794 0.11676504910313902 2.3121738158071756 0.029063459304932735 -0.12169594002242155 -1.761928591928251 0.918658925 -0.003358438565022422 0.0021140804932735366 0.019257192152466365 0.030586932286995522 0.007771522533632287 0.07733447421524664 -0.29586078273542604 0.006227317488789238 0.19190231098654703 0.17426644641255604 0.012116253363228696 0.4057106498878924 0.11704471849775787 0.17919538408071747 -0.40222346188799907 -0.21828210941704038 0.2467226414798206 0.1179631019058296 0.5575154058295965 -0.12012969461883412 0.10210364344224883 -0.5193795727578475 0.2672108706278027 -0.24690551659192825 0.6826293007847533 0.17190595549327348
0.005 -0.7190175978699551 1.5920846506726458 0.04639175201793721 -0.11345655156950671 0.8485946183856502 -0.0990973754484305 0.19821506748878923 -0.0694458048206278 -0.0054803169282511225 -0.16047251614349778 0.08447064988789237 0.21932052365470855 -0.5505878384529148 0.5518641121076233 -0.02115401266816144 0.5080099504484304 0.06930471143497757 1.8552948742152464 0.03263719338565022 0.19185206816143496 -1.5672630100896863 1.3215702477578473 0.017705681278026904 0.5393361206278027 0.170464926793722 0.5218750896860987 0.011713287331838563 -0.5446000088565022 0.12778120840807175 2.3073412649103147 0.02821153834080716 -0.12209292174887894 -1.7579905517937218 0.9112356475336321 -0.0036008073991031396 -0.0001409252242152501 0.01916048553811659 -0.023982185201793724 0.008113360313901344 0.06960882443946188 -0.2957018498878924 0.013378242152466366 0.19236791905829592 0.17447869114349773 0.013855296076233184 0.403422730044843 0.11797979540358744 0.1832218581838565 -0.4037143247826174 -0.22014779360986553 0.2471989635650224 0.11939459831838563 0.5568997393497759 -0.12053990011210763 0.09905276739775426 -0.5131457612107625 0.26569150952914794 -0.24906469114349777 0.6831173647982064 0.1685681755605381
0.01 -0.7111317248878924 1.5640903457399102 0.0464278124439462 -0.11865962825112107 0.8483313933856502 -0.08335231334080716 0.19807294719730942 -0.0793694283632287 -0.006469946188340806 -0.1919126985426009 0.08528663878923767 0.17201726199551562 -0.5477083067264573 0.7068872410313901 -0.018952867152466375 0.5727576708520178 0.07750135683856502 1.6731886367713003 0.03332685224215247 0.304064115470852 -1.5589956428251122 2.352355585650224 0.01996004439461883 0.5542394211883408 0.17291797869955156 0.44563900863228695 0.00879265538116592 -0.5840495456278026 0.13893936804932736 2.4496454921524666 0.027402385426008966 -0.10785704293721972 -1.7531383198430495 1.1516875283632286 -0.0035254433856502267 0.011900367040358734 0.019059300336322867 -0.02103425964125561 0.008438049663677128 0.07514576087443946 -0.29569173677130045 0.013074961098654709 0.19335596233183852 0.18069709405829598 0.01580568082959641 0.4441982957399103 0.11838041210762333 0.14420642242152468 -0.4051748598723035 -0.19590015896860985 0.2474457392376682 0.1250867234304933 0.5561051715246637 -0.11374893587443949 0.09630633854567998 -0.612291037780269 0.26454036143497756 -0.2488453121076233 0.6835552022421524 0.15094247813901343
0.015 -0.7027017290358744 1.4928216041479823 0.04514039047085201 -0.1211641110986547 0.8480376373318386 -0.061708034417040356 0.1977820173766816 -0.0785955976457399 -0.0076142998878923765 -0.23037896614349776 0.08597282387892377 0.1125616466367713 -0.5446438774663678 0.8985850299327354 -0.016258142264573987 0.6473755906950671 0.08451333733183856 1.3685524914798204 0.034834925 0.4166156163677129 -1.5450592045964129 3.5283951140134526 0.02254784204035874 0.5731360334080717 0.17429410683856497 0.3444477963004484 0.005640001681614348 -0.6220355251121076 0.15114983822869954 2.6134998112107626 0.02668347914798206 -0.10080824293721989 -1.7467819104260092 1.447591390807175 -0.0038522600896860994 0.021915424551569505 0.018868319955156948 -0.01669354686098655 0.008805742825112105 0.08275519069506726 -0.2956846607623318 0.012778195515695067 0.19449879775784756 0.1959143160313901 0.01803186591928251 0.4995570893497757 0.118963807735426 0.09818591984304934 -0.405732863681721 -0.16104258721973094 0.2478640076233184 0.13655021704035872 0.5556705959641256 -0.10157631143497758 0.09215097919819705 -0.7111623290358745 0.2628578507847533 -0.25112581491031394 0.6843108602017938 0.1287657728699551
0.02 -0.696472275 1.4930028513452915 0.04508356849775784 -0.12744294170403586 0.8474935781390135 -0.043717643834080715 0.19693729147982064 -0.06308669585201793 -0.00913350706278027 -0.26686043071748883 0.0859364173766816 0.05094340403587443 -0.5404146307174889 1.041480787107623 -0.013256126345291478 0.7126136448430495 0.08927394988789235 1.0254252349775783 0.03679273195067264 0.4902146763452915 -1.5268308817264575 4.204921360089686 0.025153336771300445 0.5897103390134528 0.17537913957399098 0.2279958674887892 0.002152286098654705 -0.6505449742152466 0.16423223239910312 2.7660090798206283 0.025972884753363224 -0.09472978475336323 -1.7391407360986548 1.7536944849775786 -0.0036833011210762353 0.0257870789237668 0.01879203923766816 -0.019271454484304944 0.009201470179372197 0.0891468979820628 -0.29563829114349777 0.012897627130044843 0.19477057959641253 0.21217679103139012 0.02031685795964125 0.5632985504484305 0.11906166132286997 0.05689906524663675 -0.4069966621122142 -0.11190051244394619 0.24875807488789234 0.15882913139013458 0.5546183610986546 -0.09280285112107624 0.08863436404090914 -0.7833560070627804 0.2613809141255606 -0.26178234786995513 0.6844697369955157 0.10010165695067265
0.025 -0.688526472869955 1.5258380238789235 0.04483258901345291 -0.13629819618834083 0.8474240216367712 -0.026630952354260093 0.19645647544843045 -0.04505803464125563 -0.010750179596412557 -0.3078466587443947 0.08588872825112107 -0.01091637455156952 -0.5352483173766815 1.1179610691704038 -0.009617436210762336 0.7678969576233183 0.0924804549327354 0.7954685183856502 0.0390919428251121 0.5563530247757847 -1.5070637039237669 4.16695561883408 0.02771064786995515 0.5958087436098655 0.1757593290358744 0.08692453206278025 -0.0013202040358744425 -0.6819135687219731 0.17810930997757848 2.932459624887892 0.025126469843049327 -0.08395128811659194 -1.7298674432735424 2.099556647869955 -0.003776035650224218 0.025978871748878918 0.01862714484304933 -0.02486647331838565 0.00961297701793722 0.0939791495515695 -0.29556330437219736 0.013345408968609862 0.19567342118834083 0.22356157309417043 0.02322915515695067 0.6365406674887891 0.11937449529147982 0.024590333744394587 -0.4078924488146403 -0.05521662197309418 0.2495243283632287 0.19550559999999997 0.5542093286995516 -0.08581335840807175 0.08375895873418983 -0.8417922257847535 0.2601057344170403 -0.28203046838565027 0.6843175992152467 0.070563223206278
0.03 -0.6823267889013452 1.5231371385650225 0.043663553475336306 -0.14418746973094168 0.8472182458520179 -0.0040713496636771325 0.19624509405829593 -0.02979296266816145 -0.01244333475336323 -0.35558770000000006 0.08529915650224215 -0.07223943553811664 -0.5302150688340806 1.1407873867713003 -0.006108705381165922 0.8205017911434977 0.09518461726457396 0.7796215011210761 0.04188119641255605 0.648982186547085 -1.488575485201794 3.5688293228699552 0.030220276457399095 0.6319892199551569 0.17581900896860989 -0.0777586316143498 -0.005048856053811659 -0.725853640470852 0.19314155414798204 3.126880084529147 0.024653698991031384 -0.04646505011210768 -1.7192009835201794 2.5067652882286997 -0.0037860482062780287 0.030072077017937217 0.018555367376681616 -0.02657903923766816 0.010083994394618835 0.09729491177130047 -0.2954357374439462 0.013443854932735425 0.19681726132286995 0.2284755747757847 0.026488549999999996 0.7245671438340806 0.11910640784753362 -0.00031489450672648344 -0.4082259092039704 0.010304348991031347 0.25049811199551575 0.2441903553811659 0.5531994643497757 -0.07780784820627805 0.07893590500054261 -0.9079960098654708 0.25844072443946187 -0.3124763102017936 0.6845715704035873 0.03432928677130037
0.035 -0.6739332633408073 1.5120076887892377 0.04314958430493272 -0.15229730100896863 0.8470609391255606 0.020320998542600898 0.19603279237668164 -0.026451131053811677 -0.014591707959641256 -0.4045129742152466 0.08458192948430494 -0.13301422769058296 -0.5250811695067265 1.109656738116592 -0.0021732001121076263 0.873326153587444 0.09838496917040358 1.053875044618834 0.044837497757847525 0.7658443125560537 -1.4744454501121078 2.7383447002242156 0.03316210997757847 0.7489740221973094 0.17448279338565023 -0.2424630109865471 -0.009040534753363236 -0.7801375432735425 0.2089800755605381 3.3523656554932737 0.024278261995515693 0.007790305605381129 -1.7056088857623317 2.943560839573991 -0.0037595822869955155 0.04220683307174887 0.01837502343049327 -0.02455383139013453 0.010523419058295964 0.10047622242152467 -0.2955088581838565 0.013213119394618835 0.19803744820627803 0.22141347556053811 0.02997426132286996 0.8150459360986548 0.11891884125560538 -0.017567184977578493 -0.4078070802436955 0.07803407735426006 0.2516585128923767 0.3004548147982063 0.5530856834080717 -0.07047540168161438 0.07429074204136255 -0.970146130381166 0.2563452843049327 -0.34603583598654714 0.6841611417040357 -0.008715072085201859
0.04 -0.6674454090807175 1.510698599775785 0.041624453363228696 -0.1615690383408072 0.8474660262331839 0.04302354260089685 0.19539045246636771 -0.03867700448430494 -0.01692805594170404 -0.4524896081838564 0.0833578279147982 -0.1881223325112108 -0.520483939013453 1.001845680605381 0.001971296860986536 0.9231625776905827 0.1035635207399103 1.581746373206278 0.04880929585201793 0.8496631215246637 -1.4647307209641254 1.9119532795964125 0.03641370493273543 0.8893656968609863 0.17255692713004483 -0.40813351154708527 -0.013239500000000003 -0.8400131580717489 0.22576457623318386 3.5832858647982064 0.024426891367712998 0.08452626984304927 -1.6906497522421529 3.379131540919283 -0.0035131308295964126 0.05427488385650224 0.018143048654708522 -0.020238716367713003 0.01099906121076233 0.10338250751121075 -0.2954316459641256 0.012674568161434974 0.19820924573991033 0.19643861524663678 0.03416632376681614 0.8940248380044843 0.1184731691704036 -0.03538846939461885 -0.40766912437966185 0.1509625311659193 0.2532397597533632 0.35434700123318374 0.552640953251121 -0.06822133352017937 0.06899308787510519 -1.0267716819506727 0.2545333132286995 -0.37925110807174883 0.6834820542600899 -0.05932503946188341
0.045 -0.6595867954035876 1.5121781337443945 0.04169930022421524 -0.17167251939461886 0.8475068311659194 0.06425273295964126 0.19532671726457398 -0.05956745179372197 -0.019345891591928253 -0.49603300560538116 0.08229729876681614 -0.23767347847533632 -0.5167754494394619 0.8334969774663676 0.006272388452914796 0.9751910279147983 0.1117490918161435 2.2580401632286993 0.052766636434977573 0.8669749909192824 -1.4589569477578477 1.158002902578475 0.04038916334080717 0.9710297661434977 0.16964020986547082 -0.5753318182735425 -0.017624631726457403 -0.9064169405829596 0.2438243330717489 3.820842616367713 0.024922133968609865 0.17603933755605364 -1.6724738386771303 3.8425888605381164 -0.0033133790358744405 0.05820760358744394 0.017982020291479824 -0.013962489686098655 0.011449910201793723 0.10475972914798205 -0.2954324331838565 0.012202915134529148 0.19916041322869957 0.16000861322869953 0.03852509697309417 0.9557324206278028 0.11822947690582959 -0.048949971524663696 -0.40734005285499814 0.23124119955156947 0.2540911887892377 0.396120812780269 0.5519756785874439 -0.07898802432735427 0.06331636527518181 -1.0855900086322872 0.2522767943946188 -0.4061941307174887 0.6828563924887892 -0.1137609504484305
